task_prompt	task_label	model
tweetevalsentimentPromptRoberta	emotion	Roberta
SST2PromptRoberta	emotion	Roberta
snliPromptRoberta	nli	Roberta
emobankdominancePromptRoberta	emotion	Roberta
anliPromptRoberta	nli	Roberta
RTEPromptRoberta	nli	Roberta
squinkyimplicaturePromptRoberta	diseval	Roberta
persuasivenessspecificityPromptRoberta	diseval	Roberta
QNLIPromptRoberta	nli	Roberta
persuasivenessrelevancePromptRoberta	diseval	Roberta
MRPCPromptRoberta	paraphrase_detection	Roberta
QQPPromptRoberta	acceptability	Roberta
STSBPromptRoberta	other	Roberta
laptopPromptRoberta	emotion	Roberta
MNLIPromptRoberta	nli	Roberta
movierationalesPromptRoberta	emotion	Roberta
restaurantPromptRoberta	emotion	Roberta
emobankarousalPromptRoberta	emotion	Roberta
WNLIPromptRoberta	nli	Roberta
squinkyformalityPromptRoberta	diseval	Roberta
IMDBPromptRoberta	emotion	Roberta
