task_prompt	task_label	model
tweetevalsentimentPromptRoberta	emotion	Roberta
SST2PromptRoberta	emotion	Roberta
snliPromptRoberta	nli	Roberta
snliPromptBert	nli	Bert
emobankdominancePromptRoberta	emotion	Roberta
squinkyformalityPromptBert	diseval	Bert
WNLIPromptBert	nli	Bert
tweetevalsentimentPromptBert	emotion	Bert
anliPromptRoberta	nli	Roberta
RTEPromptRoberta	nli	Roberta
squinkyimplicaturePromptRoberta	diseval	Roberta
MNLIPromptBert	nli	Bert
persuasivenessspecificityPromptRoberta	diseval	Roberta
MRPCPromptBert	paraphrase_detection	Bert
QNLIPromptRoberta	nli	Roberta
emobankdominancePromptBert	emotion	Bert
restaurantPromptBert	emotion	Bert
anliPromptBert	nli	Bert
IMDBPromptBert	emotion	Bert
QQPPromptBert	acceptability	Bert
laptopPromptBert	emotion	Bert
persuasivenessrelevancePromptRoberta	diseval	Roberta
MRPCPromptRoberta	paraphrase_detection	Roberta
QQPPromptRoberta	acceptability	Roberta
STSBPromptRoberta	other	Roberta
laptopPromptRoberta	emotion	Roberta
QNLIPromptBert	nli	Bert
persuasivenessspecificityPromptBert	diseval	Bert
MNLIPromptRoberta	nli	Roberta
STSBPromptBert	other	Bert
movierationalesPromptBert	emotion	Bert
RTEPromptBert	nli	Bert
SST2PromptBert	emotion	Bert
movierationalesPromptRoberta	emotion	Roberta
restaurantPromptRoberta	emotion	Roberta
emobankarousalPromptRoberta	emotion	Roberta
WNLIPromptRoberta	nli	Roberta
emobankarousalPromptBert	emotion	Bert
persuasivenessrelevancePromptBert	diseval	Bert
squinkyformalityPromptRoberta	diseval	Roberta
IMDBPromptRoberta	emotion	Roberta
squinkyimplicaturePromptBert	diseval	Bert
